file_name,keywords,sound_id,sound_link,start_end_samples,manufacturer,license
Distorted AM Radio noise.wav,noise;radio,117790,https://freesound.org/people/lavatorius/sounds/117790,"[139264, 1293089]",lavatorius,http://creativecommons.org/publicdomain/zero/1.0/
Paper_Parchment_Rustling.wav,movement;parchment;scroll;crinkle;pages;moving;paper;book;crumple;page;crumpling;rustling;rustle;crinkling,204046,https://freesound.org/people/duckduckpony/sounds/204046,"[138752, 1310057]",duckduckpony,http://creativecommons.org/licenses/by/3.0/
03 Whales Slowing Down.wav,boat;voice;earth;sea;humpback-whales;live-recording;ocean;Puerto-Rico;Virgin-Islands;field-recording;Caribbean;hydrophone,322000,https://freesound.org/people/listeningtowhales/sounds/322000,"[2143744, 3216050]",listeningtowhales,http://creativecommons.org/licenses/by-nc/3.0/
Rope tied to boat in port.wav,tanker;sail-boat;rope;ocean;shipping;yacht;sailing;marina;barge;tied;cruise-ship;big;sail;sailboat;rigging;OWI;boat;port;ship;cruise;sea;tide;harbour;nautical;heavy,366020,https://freesound.org/people/Pastabra/sounds/366020,"[288256, 1389921]",Pastabra,http://creativecommons.org/licenses/by-nc/3.0/
carpenter bee.wav,bugs;field-recording;insects,95050,https://freesound.org/people/cognito perceptu/sounds/95050,"[961024, 1879366]",cognito perceptu,http://creativecommons.org/publicdomain/zero/1.0/
violin1.wav,background;background-sound;atmos;anxious,211388,https://freesound.org/people/monica137142/sounds/211388,"[717824, 1917938]",monica137142,http://creativecommons.org/licenses/by/3.0/
121006_rain&amp;storm.wav,wind;storm;plane;DR-100;Autumn;TASCAM;rain;Poland;nature;field-recording,168553,https://freesound.org/people/Zbylut/sounds/168553,"[256000, 1250683]",Zbylut,http://creativecommons.org/licenses/by-nc/3.0/
draaiorgel2.wav,dutch;organ;street,6896,https://freesound.org/people/hanstimm/sounds/6896,"[1920512, 3095880]",hanstimm,http://creativecommons.org/licenses/by-nc/3.0/
Officejet Printer.wav,print;workplace;paper;officejet;printing;hp;inkjet;office;printer,330312,https://freesound.org/people/diniunicorn/sounds/330312,,diniunicorn,http://creativecommons.org/publicdomain/zero/1.0/
Stockholm subway C20 train departing.wav,bombardier;c20;departing;metro;subway;train;underground,123661,https://freesound.org/people/grimny/sounds/123661,"[321536, 1444973]",grimny,http://creativecommons.org/licenses/by/3.0/
metalTunnel.wav,reverberant;springy;metallic;echoing;metally,266329,https://freesound.org/people/mannhawks/sounds/266329,"[7680, 1112203]",mannhawks,http://creativecommons.org/publicdomain/zero/1.0/
Ambience Night crickets.wav,animals;night;crickets;bugs;ambiance;insects;nature;field-recording;OWI;evening;cricket,326966,https://freesound.org/people/WingsOfIrony/sounds/326966,"[1295872, 2404512]",WingsOfIrony,http://creativecommons.org/licenses/by-nc/3.0/
